rep,site,plot,density_category,density_level,method,date,sample_day,phylum,species,microsite,daily_animal_totals
536,4,1,HD,3,focal,06-Jun-19,21,invertebrate,Dicolonus simplex,open,2
545,4,1,HD,3,focal,29-May-19,13,invertebrate,Dicolonus simplex,open,1
561,4,1,HD,3,transect,21-May-19,5,invertebrate,Colias eurytheme,open,1
558,4,1,HD,3,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,open,1
562,4,1,HD,3,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,open,1
569,4,1,HD,3,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,open,1
574,4,1,HD,3,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,open,1
568,4,1,HD,3,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,1
541,4,1,HD,3,focal,25-May-19,9,invertebrate,Colias eurytheme,shrub,9
549,4,1,HD,3,focal,31-May-19,15,invertebrate,Colias eurytheme,shrub,1
555,4,1,HD,3,transect,06-Jun-19,21,invertebrate,Colias eurytheme,shrub,1
567,4,1,HD,3,transect,29-May-19,13,invertebrate,Colias eurytheme,shrub,2
526,4,1,HD,3,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,shrub,5
529,4,1,HD,3,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,1
537,4,1,HD,3,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,shrub,3
542,4,1,HD,3,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,shrub,2
546,4,1,HD,3,focal,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,2
550,4,1,HD,3,focal,31-May-19,15,invertebrate,Oedaleonotus enigma,shrub,2
552,4,1,HD,3,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,4
556,4,1,HD,3,transect,06-Jun-19,21,invertebrate,Oedaleonotus enigma,shrub,5
559,4,1,HD,3,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,shrub,2
563,4,1,HD,3,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,shrub,1
570,4,1,HD,3,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,5
575,4,1,HD,3,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,shrub,5
453,4,1,HD,3,camera trap,02-Jun,17,vertebrate,Ammospermophilus nelsoni,shrub,1
457,4,1,HD,3,camera trap,03-Jun,18,vertebrate,Ammospermophilus nelsoni,shrub,1
460,4,1,HD,3,camera trap,04-Jun,19,vertebrate,Ammospermophilus nelsoni,shrub,2
464,4,1,HD,3,camera trap,05-Jun,20,vertebrate,Ammospermophilus nelsoni,shrub,1
469,4,1,HD,3,camera trap,07-Jun,22,vertebrate,Ammospermophilus nelsoni,shrub,4
473,4,1,HD,3,camera trap,08-Jun,23,vertebrate,Ammospermophilus nelsoni,shrub,2
478,4,1,HD,3,camera trap,09-Jun,24,vertebrate,Ammospermophilus nelsoni,shrub,2
481,4,1,HD,3,camera trap,10-Jun,25,vertebrate,Ammospermophilus nelsoni,shrub,5
484,4,1,HD,3,camera trap,11-Jun,26,vertebrate,Ammospermophilus nelsoni,shrub,1
517,4,1,HD,3,camera trap,30-May,14,vertebrate,Ammospermophilus nelsoni,shrub,1
525,4,1,HD,3,focal,02-Jun-19,17,vertebrate,Ammospermophilus nelsoni,shrub,1
534,4,1,HD,3,focal,06-Jun-19,21,vertebrate,Ammospermophilus nelsoni,shrub,2
540,4,1,HD,3,focal,25-May-19,9,vertebrate,Ammospermophilus nelsoni,shrub,1
566,4,1,HD,3,transect,29-May-19,13,vertebrate,Ammospermophilus nelsoni,shrub,2
572,4,1,HD,3,transect,31-May-19,15,vertebrate,Ammospermophilus nelsoni,shrub,1
507,4,1,HD,3,camera trap,25-May,9,vertebrate,Buteo jamaicensis,shrub,1
470,4,1,HD,3,camera trap,07-Jun,22,vertebrate,Chondestes grammacus,shrub,1
518,4,1,HD,3,camera trap,30-May,14,vertebrate,Chondestes grammacus,shrub,1
535,4,1,HD,3,focal,06-Jun-19,21,vertebrate,Chondestes grammacus,shrub,1
544,4,1,HD,3,focal,29-May-19,13,vertebrate,Chondestes grammacus,shrub,4
548,4,1,HD,3,focal,31-May-19,15,vertebrate,Chondestes grammacus,shrub,1
573,4,1,HD,3,transect,31-May-19,15,vertebrate,Chondestes grammacus,shrub,2
449,4,1,HD,3,camera trap,01-Jun,16,vertebrate,Dipodomys heermann,shrub,9
456,4,1,HD,3,camera trap,02-Jun,17,vertebrate,Dipodomys heermann,shrub,31
458,4,1,HD,3,camera trap,03-Jun,18,vertebrate,Dipodomys heermann,shrub,10
462,4,1,HD,3,camera trap,04-Jun,19,vertebrate,Dipodomys heermann,shrub,9
468,4,1,HD,3,camera trap,06-Jun,21,vertebrate,Dipodomys heermann,shrub,7
477,4,1,HD,3,camera trap,08-Jun,23,vertebrate,Dipodomys heermann,shrub,3
480,4,1,HD,3,camera trap,09-Jun,24,vertebrate,Dipodomys heermann,shrub,5
483,4,1,HD,3,camera trap,10-Jun,25,vertebrate,Dipodomys heermann,shrub,7
486,4,1,HD,3,camera trap,11-Jun,26,vertebrate,Dipodomys heermann,shrub,1
488,4,1,HD,3,camera trap,17-May,1,vertebrate,Dipodomys heermann,shrub,2
508,4,1,HD,3,camera trap,25-May,9,vertebrate,Dipodomys heermann,shrub,1
515,4,1,HD,3,camera trap,29-May,13,vertebrate,Dipodomys heermann,shrub,7
520,4,1,HD,3,camera trap,30-May,14,vertebrate,Dipodomys heermann,shrub,10
523,4,1,HD,3,camera trap,31-May,15,vertebrate,Dipodomys heermann,shrub,11
527,4,1,HD,3,focal,02-Jun-19,17,vertebrate,Gambelia sila,shrub,1
531,4,1,HD,3,focal,04-Jun-19,19,vertebrate,Gambelia sila,shrub,1
530,4,1,HD,3,focal,04-Jun-19,19,vertebrate,Lepus californicus,shrub,1
455,4,1,HD,3,camera trap,02-Jun,17,vertebrate,Lepus californicus,shrub,4
461,4,1,HD,3,camera trap,04-Jun,19,vertebrate,Lepus californicus,shrub,1
465,4,1,HD,3,camera trap,05-Jun,20,vertebrate,Lepus californicus,shrub,1
467,4,1,HD,3,camera trap,06-Jun,21,vertebrate,Lepus californicus,shrub,1
471,4,1,HD,3,camera trap,07-Jun,22,vertebrate,Lepus californicus,shrub,4
476,4,1,HD,3,camera trap,08-Jun,23,vertebrate,Lepus californicus,shrub,1
479,4,1,HD,3,camera trap,09-Jun,24,vertebrate,Lepus californicus,shrub,2
482,4,1,HD,3,camera trap,10-Jun,25,vertebrate,Lepus californicus,shrub,4
487,4,1,HD,3,camera trap,17-May,1,vertebrate,Lepus californicus,shrub,1
491,4,1,HD,3,camera trap,18-May,2,vertebrate,Lepus californicus,shrub,1
500,4,1,HD,3,camera trap,21-May,5,vertebrate,Lepus californicus,shrub,1
505,4,1,HD,3,camera trap,23-May,7,vertebrate,Lepus californicus,shrub,1
514,4,1,HD,3,camera trap,29-May,13,vertebrate,Lepus californicus,shrub,2
519,4,1,HD,3,camera trap,30-May,14,vertebrate,Lepus californicus,shrub,3
553,4,1,HD,3,transect,04-Jun-19,19,vertebrate,Lepus californicus,shrub,1
448,4,1,HD,3,camera trap,01-Jun,16,vertebrate,Otospermophilus beecheyi,shrub,1
454,4,1,HD,3,camera trap,02-Jun,17,vertebrate,Otospermophilus beecheyi,shrub,1
475,4,1,HD,3,camera trap,08-Jun,23,vertebrate,Otospermophilus beecheyi,shrub,1
485,4,1,HD,3,camera trap,11-Jun,26,vertebrate,Otospermophilus beecheyi,shrub,1
466,4,1,HD,3,camera trap,06-Jun,21,vertebrate,Perognathus inornatus,shrub,1
474,4,1,HD,3,camera trap,08-Jun,23,vertebrate,Perognathus inornatus,shrub,1
452,4,1,HD,3,camera trap,01-Jun,16,vertebrate,small mammal,shrub,1
459,4,1,HD,3,camera trap,03-Jun,18,vertebrate,small mammal,shrub,2
463,4,1,HD,3,camera trap,04-Jun,19,vertebrate,small mammal,shrub,1
472,4,1,HD,3,camera trap,07-Jun,22,vertebrate,small mammal,shrub,1
490,4,1,HD,3,camera trap,17-May,1,vertebrate,small mammal,shrub,2
493,4,1,HD,3,camera trap,18-May,2,vertebrate,small mammal,shrub,4
496,4,1,HD,3,camera trap,19-May,3,vertebrate,small mammal,shrub,5
498,4,1,HD,3,camera trap,20-May,4,vertebrate,small mammal,shrub,1
502,4,1,HD,3,camera trap,21-May,5,vertebrate,small mammal,shrub,2
503,4,1,HD,3,camera trap,22-May,5,vertebrate,small mammal,shrub,1
510,4,1,HD,3,camera trap,25-May,9,vertebrate,small mammal,shrub,2
513,4,1,HD,3,camera trap,27-May,11,vertebrate,small mammal,shrub,1
522,4,1,HD,3,camera trap,30-May,14,vertebrate,small mammal,shrub,1
533,4,1,HD,3,focal,04-Jun-19,19,vertebrate,Uta stansburiana,shrub,1
450,4,1,HD,3,camera trap,01-Jun,16,vertebrate,Vulpes macrotis,shrub,2
681,4,2,MD,2,focal,02-Jun-19,17,invertebrate,Dasymutilla aureola,open,1
682,4,2,MD,2,focal,04-Jun-19,19,invertebrate,Dicolonus simplex,open,2
687,4,2,MD,2,focal,06-Jun-19,21,invertebrate,Dicolonus simplex,open,1
696,4,2,MD,2,focal,29-May-19,13,invertebrate,Dicolonus simplex,open,1
697,4,2,MD,2,focal,29-May-19,13,invertebrate,Dicolonus simplex,open,1
730,4,2,MD,2,transect,29-May-19,13,invertebrate,Dicolonus simplex,open,1
678,4,2,MD,2,focal,02-Jun-19,17,invertebrate,Colias eurytheme,open,1
719,4,2,MD,2,transect,21-May-19,5,invertebrate,Colias eurytheme,open,2
587,4,2,MD,2,camera trap,03-Jun,18,invertebrate,Oedaleonotus enigma,open,2
683,4,2,MD,2,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,open,1
688,4,2,MD,2,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,1
707,4,2,MD,2,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,open,1
711,4,2,MD,2,transect,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,2
714,4,2,MD,2,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,open,3
721,4,2,MD,2,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,open,1
726,4,2,MD,2,transect,25-May-19,9,invertebrate,Oedaleonotus enigma,open,3
732,4,2,MD,2,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,open,1
736,4,2,MD,2,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,open,3
577,4,2,MD,2,camera trap,01-Jun,16,vertebrate,Ammospermophilus nelsoni,open,1
583,4,2,MD,2,camera trap,02-Jun,17,vertebrate,Ammospermophilus nelsoni,open,1
586,4,2,MD,2,camera trap,03-Jun,18,vertebrate,Ammospermophilus nelsoni,open,1
591,4,2,MD,2,camera trap,04-Jun,19,vertebrate,Ammospermophilus nelsoni,open,1
639,4,2,MD,2,camera trap,22-May,6,vertebrate,Ammospermophilus nelsoni,open,2
641,4,2,MD,2,camera trap,23-May,7,vertebrate,Ammospermophilus nelsoni,open,1
645,4,2,MD,2,camera trap,24-May,8,vertebrate,Ammospermophilus nelsoni,open,6
655,4,2,MD,2,camera trap,27-May,11,vertebrate,Ammospermophilus nelsoni,open,1
660,4,2,MD,2,camera trap,28-May,12,vertebrate,Ammospermophilus nelsoni,open,3
663,4,2,MD,2,camera trap,29-May,13,vertebrate,Ammospermophilus nelsoni,open,1
674,4,2,MD,2,camera trap,31-May,15,vertebrate,Ammospermophilus nelsoni,open,2
579,4,2,MD,2,camera trap,01-Jun,16,vertebrate,Dipodomys heermann,open,8
588,4,2,MD,2,camera trap,03-Jun,18,vertebrate,Dipodomys heermann,open,2
594,4,2,MD,2,camera trap,04-Jun,19,vertebrate,Dipodomys heermann,open,3
598,4,2,MD,2,camera trap,05-Jun,20,vertebrate,Dipodomys heermann,open,1
601,4,2,MD,2,camera trap,06-Jun,21,vertebrate,Dipodomys heermann,open,5
626,4,2,MD,2,camera trap,19-May,3,vertebrate,Dipodomys heermann,open,1
635,4,2,MD,2,camera trap,21-May,5,vertebrate,Dipodomys heermann,open,4
640,4,2,MD,2,camera trap,22-May,6,vertebrate,Dipodomys heermann,open,10
643,4,2,MD,2,camera trap,23-May,7,vertebrate,Dipodomys heermann,open,3
647,4,2,MD,2,camera trap,24-May,8,vertebrate,Dipodomys heermann,open,17
653,4,2,MD,2,camera trap,26-May,10,vertebrate,Dipodomys heermann,open,5
658,4,2,MD,2,camera trap,27-May,11,vertebrate,Dipodomys heermann,open,8
661,4,2,MD,2,camera trap,28-May,12,vertebrate,Dipodomys heermann,open,14
665,4,2,MD,2,camera trap,29-May,13,vertebrate,Dipodomys heermann,open,19
671,4,2,MD,2,camera trap,30-May,14,vertebrate,Dipodomys heermann,open,2
676,4,2,MD,2,camera trap,31-May,15,vertebrate,Dipodomys heermann,open,3
667,4,2,MD,2,camera trap,29-May,13,vertebrate,Gambelia sila,open,10
694,4,2,MD,2,focal,25-May-19,9,vertebrate,Gambelia sila,open,1
578,4,2,MD,2,camera trap,01-Jun,16,vertebrate,Lepus californicus,open,1
584,4,2,MD,2,camera trap,02-Jun,17,vertebrate,Lepus californicus,open,2
600,4,2,MD,2,camera trap,06-Jun,21,vertebrate,Lepus californicus,open,2
604,4,2,MD,2,camera trap,07-Jun,22,vertebrate,Lepus californicus,open,1
608,4,2,MD,2,camera trap,09-Jun,24,vertebrate,Lepus californicus,open,1
612,4,2,MD,2,camera trap,11-Jun,26,vertebrate,Lepus californicus,open,1
616,4,2,MD,2,camera trap,17-May,1,vertebrate,Lepus californicus,open,1
675,4,2,MD,2,camera trap,31-May,15,vertebrate,Lepus californicus,open,1
593,4,2,MD,2,camera trap,04-Jun,19,vertebrate,Otospermophilus beecheyi,open,1
633,4,2,MD,2,camera trap,21-May,5,vertebrate,Otospermophilus beecheyi,open,1
592,4,2,MD,2,camera trap,04-Jun,19,vertebrate,Perognathus inornatus,open,1
614,4,2,MD,2,camera trap,17-May,1,vertebrate,Perognathus inornatus,open,2
619,4,2,MD,2,camera trap,18-May,2,vertebrate,Perognathus inornatus,open,2
624,4,2,MD,2,camera trap,19-May,3,vertebrate,Perognathus inornatus,open,3
629,4,2,MD,2,camera trap,20-May,4,vertebrate,Perognathus inornatus,open,2
652,4,2,MD,2,camera trap,26-May,10,vertebrate,Perognathus inornatus,open,1
657,4,2,MD,2,camera trap,27-May,11,vertebrate,Perognathus inornatus,open,1
669,4,2,MD,2,camera trap,30-May,14,vertebrate,Perognathus inornatus,open,1
582,4,2,MD,2,camera trap,01-Jun,16,vertebrate,small mammal,open,2
590,4,2,MD,2,camera trap,03-Jun,18,vertebrate,small mammal,open,1
596,4,2,MD,2,camera trap,04-Jun,19,vertebrate,small mammal,open,1
650,4,2,MD,2,camera trap,25-May,9,vertebrate,small mammal,open,1
673,4,2,MD,2,camera trap,30-May,14,vertebrate,small mammal,open,2
610,4,2,MD,2,camera trap,10-Jun,25,vertebrate,Uta stansburiana,open,1
581,4,2,MD,2,camera trap,01-Jun,16,vertebrate,Vulpes macrotis,open,1
607,4,2,MD,2,camera trap,08-Jun,23,vertebrate,Vulpes macrotis,open,2
718,4,2,MD,2,transect,21-May-19,5,invertebrate,Melecta separata,shrub,1
702,4,2,MD,2,focal,31-May-19,15,invertebrate,Dicolonus simplex,shrub,1
725,4,2,MD,2,transect,25-May-19,9,invertebrate,Dicolonus simplex,shrub,1
731,4,2,MD,2,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,2
693,4,2,MD,2,focal,25-May-19,9,invertebrate,Colias eurytheme,shrub,15
720,4,2,MD,2,transect,21-May-19,5,invertebrate,Colias eurytheme,shrub,4
724,4,2,MD,2,transect,25-May-19,9,invertebrate,Colias eurytheme,shrub,8
679,4,2,MD,2,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,shrub,1
684,4,2,MD,2,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,1
698,4,2,MD,2,focal,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,3
706,4,2,MD,2,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,2
708,4,2,MD,2,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,8
712,4,2,MD,2,transect,06-Jun-19,21,invertebrate,Oedaleonotus enigma,shrub,2
715,4,2,MD,2,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,shrub,2
722,4,2,MD,2,transect,21-May-19,5,invertebrate,Oedaleonotus enigma,shrub,1
727,4,2,MD,2,transect,25-May-19,9,invertebrate,Oedaleonotus enigma,shrub,3
733,4,2,MD,2,transect,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,2
737,4,2,MD,2,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,shrub,8
717,4,2,MD,2,transect,11-Jun-19,26,invertebrate,Pepsis formos,shrub,1
597,4,2,MD,2,camera trap,05-Jun,20,vertebrate,Ammospermophilus nelsoni,shrub,3
705,4,2,MD,2,transect,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,1
710,4,2,MD,2,transect,06-Jun-19,21,vertebrate,Ammospermophilus nelsoni,shrub,1
701,4,2,MD,2,focal,29-May-19,13,vertebrate,Aspidoscelis tigris,shrub,1
704,4,2,MD,2,focal,31-May-19,15,vertebrate,Aspidoscelis tigris,shrub,1
656,4,2,MD,2,camera trap,27-May,11,vertebrate,Chondestes grammacus,shrub,1
686,4,2,MD,2,focal,06-Jun-19,21,vertebrate,Chondestes grammacus,shrub,2
729,4,2,MD,2,transect,25-May-19,9,vertebrate,Crotalus oreganus,shrub,1
580,4,2,MD,2,camera trap,01-Jun,16,vertebrate,Dipodomys heermann,shrub,11
585,4,2,MD,2,camera trap,02-Jun,17,vertebrate,Dipodomys heermann,shrub,3
589,4,2,MD,2,camera trap,03-Jun,18,vertebrate,Dipodomys heermann,shrub,4
595,4,2,MD,2,camera trap,04-Jun,19,vertebrate,Dipodomys heermann,shrub,5
599,4,2,MD,2,camera trap,05-Jun,20,vertebrate,Dipodomys heermann,shrub,8
602,4,2,MD,2,camera trap,06-Jun,21,vertebrate,Dipodomys heermann,shrub,1
606,4,2,MD,2,camera trap,07-Jun,22,vertebrate,Dipodomys heermann,shrub,3
609,4,2,MD,2,camera trap,09-Jun,24,vertebrate,Dipodomys heermann,shrub,4
613,4,2,MD,2,camera trap,11-Jun,26,vertebrate,Dipodomys heermann,shrub,1
621,4,2,MD,2,camera trap,18-May,2,vertebrate,Dipodomys heermann,shrub,2
627,4,2,MD,2,camera trap,19-May,3,vertebrate,Dipodomys heermann,shrub,1
644,4,2,MD,2,camera trap,23-May,7,vertebrate,Dipodomys heermann,shrub,12
648,4,2,MD,2,camera trap,24-May,8,vertebrate,Dipodomys heermann,shrub,4
649,4,2,MD,2,camera trap,25-May,9,vertebrate,Dipodomys heermann,shrub,5
654,4,2,MD,2,camera trap,26-May,10,vertebrate,Dipodomys heermann,shrub,2
659,4,2,MD,2,camera trap,27-May,11,vertebrate,Dipodomys heermann,shrub,1
662,4,2,MD,2,camera trap,28-May,12,vertebrate,Dipodomys heermann,shrub,14
666,4,2,MD,2,camera trap,29-May,13,vertebrate,Dipodomys heermann,shrub,7
672,4,2,MD,2,camera trap,30-May,14,vertebrate,Dipodomys heermann,shrub,10
677,4,2,MD,2,camera trap,31-May,15,vertebrate,Dipodomys heermann,shrub,10
691,4,2,MD,2,focal,17-May-19,1,vertebrate,Lepus californicus,shrub,1
605,4,2,MD,2,camera trap,07-Jun,22,vertebrate,Lepus californicus,shrub,6
642,4,2,MD,2,camera trap,23-May,7,vertebrate,Lepus californicus,shrub,5
646,4,2,MD,2,camera trap,24-May,8,vertebrate,Lepus californicus,shrub,1
664,4,2,MD,2,camera trap,29-May,13,vertebrate,Lepus californicus,shrub,1
670,4,2,MD,2,camera trap,30-May,14,vertebrate,Lepus californicus,shrub,3
603,4,2,MD,2,camera trap,06-Jun,21,vertebrate,small mammal,shrub,1
611,4,2,MD,2,camera trap,10-Jun,25,vertebrate,small mammal,shrub,0
618,4,2,MD,2,camera trap,17-May,1,vertebrate,small mammal,shrub,1
623,4,2,MD,2,camera trap,18-May,2,vertebrate,small mammal,shrub,4
632,4,2,MD,2,camera trap,20-May,4,vertebrate,small mammal,shrub,1
637,4,2,MD,2,camera trap,21-May,5,vertebrate,small mammal,shrub,1
638,4,2,MD,2,camera trap,22-May,5,vertebrate,small mammal,shrub,3
651,4,2,MD,2,camera trap,25-May,9,vertebrate,small mammal,shrub,1
668,4,2,MD,2,camera trap,29-May,13,vertebrate,small mammal,shrub,1
700,4,2,MD,2,focal,29-May-19,13,vertebrate,Uta stansburiana,shrub,1
735,4,2,MD,2,transect,29-May-19,13,vertebrate,Uta stansburiana,shrub,1
788,4,3,LD,1,focal,25-May-19,9,invertebrate,Dicolonus simplex,open,1
792,4,3,LD,1,focal,29-May-19,13,invertebrate,Dicolonus simplex,open,3
786,4,3,LD,1,focal,25-May-19,9,invertebrate,Colias eurytheme,open,3
798,4,3,LD,1,transect,04-Jun-19,19,invertebrate,Colias eurytheme,open,1
812,4,3,LD,1,transect,25-May-19,9,invertebrate,Colias eurytheme,open,1
820,4,3,LD,1,transect,29-May-19,13,invertebrate,Colias eurytheme,open,1
777,4,3,LD,1,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,open,2
781,4,3,LD,1,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,7
789,4,3,LD,1,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,open,2
799,4,3,LD,1,transect,04-Jun-19,19,invertebrate,Oedaleonotus enigma,open,1
803,4,3,LD,1,transect,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,2
806,4,3,LD,1,transect,11-Jun-19,26,invertebrate,Oedaleonotus enigma,open,1
815,4,3,LD,1,transect,25-May-19,9,invertebrate,Oedaleonotus enigma,open,3
827,4,3,LD,1,transect,31-May-19,15,invertebrate,Oedaleonotus enigma,open,1
770,4,3,LD,1,camera trap,29-May,13,vertebrate,Ammospermophilus nelsoni,open,1
778,4,3,LD,1,focal,02-Jun-19,17,vertebrate,Calypte anna,open,1
769,4,3,LD,1,camera trap,25-May,9,vertebrate,Chondestes grammacus,open,1
795,4,3,LD,1,focal,31-May-19,15,vertebrate,Chondestes grammacus,open,1
742,4,3,LD,1,camera trap,01-Jun,16,vertebrate,Dipodomys heermann,open,15
744,4,3,LD,1,camera trap,02-Jun,17,vertebrate,Dipodomys heermann,open,20
746,4,3,LD,1,camera trap,03-Jun,18,vertebrate,Dipodomys heermann,open,15
748,4,3,LD,1,camera trap,04-Jun,19,vertebrate,Dipodomys heermann,open,13
751,4,3,LD,1,camera trap,05-Jun,20,vertebrate,Dipodomys heermann,open,10
754,4,3,LD,1,camera trap,07-Jun,22,vertebrate,Dipodomys heermann,open,7
