,plot,method,date,sample_day,phylum,species,microsite,daily_animal_totals,site,density_category,density_levels,density,cover,mean_shrub_size,proportion_shrub_cover,RDM,year
591,1,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
592,1,focal,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
593,1,focal,31-May-19,15,invertebrate,Oedaleonotus enigma,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
605,2,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
606,2,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,open,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,2,2019
607,2,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
608,2,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,2,2019
609,2,focal,29-May-19,13,invertebrate,Oedaleonotus enigma,shrub,3,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
625,3,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,open,2,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
626,3,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,7,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
627,3,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,open,2,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
639,4,focal,02-Jun-19,17,invertebrate,Oedaleonotus enigma,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
640,4,focal,04-Jun-19,19,invertebrate,Oedaleonotus enigma,open,3,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
641,4,focal,06-Jun-19,21,invertebrate,Oedaleonotus enigma,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
642,4,focal,25-May-19,9,invertebrate,Oedaleonotus enigma,open,2,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
643,4,focal,31-May-19,15,invertebrate,Oedaleonotus enigma,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
680,5,focal,02-Jun-19,17,invertebrate,Rhionaeschna multicolor,shrub,2,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
682,7,focal,25-May-19,9,invertebrate,Rhionaeschna multicolor,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
740,5,focal,02-Jun-19,17,vertebrate,Uta stansburiana,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
743,7,focal,02-Jun-19,17,vertebrate,Uta stansburiana,open,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,1.333333333,2019
745,1,focal,04-Jun-19,19,vertebrate,Uta stansburiana,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
747,2,focal,29-May-19,13,vertebrate,Uta stansburiana,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
9,5,transect,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
10,5,transect,25-May-19,9,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
25,6,transect,07-Jun-19,22,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
40,7,transect,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,3,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
41,7,transect,25-May-19,9,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
47,8,transect,12-Jun-19,27,vertebrate,Ammospermophilus nelsoni,open,1,Carrizo site 3,none,0,0,0,0,0,5.333333333,2019
61,1,transect,29-May-19,13,vertebrate,Ammospermophilus nelsoni,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
62,1,transect,31-May-19,15,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
75,2,transect,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
76,2,transect,06-Jun-19,21,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
80,3,transect,04-Jun-19,19,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
81,3,transect,29-May-19,13,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
82,3,transect,31-May-19,15,vertebrate,Ammospermophilus nelsoni,shrub,2,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
88,5,transect,25-May-19,9,vertebrate,Ammospermophilus nelsoni,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
91,2,transect,21-May-19,5,invertebrate,Andrena nigripes,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
93,5,transect,25-May-19,9,vertebrate,Aspidoscelis tigris,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
94,6,transect,25-May-19,9,vertebrate,Aspidoscelis tigris,shrub,2,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
99,5,transect,04-Jun-19,19,invertebrate,Calathus ruficollis,shrub,2,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
100,5,transect,28-May-19,12,invertebrate,Calathus ruficollis,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
101,6,transect,04-Jun-19,19,invertebrate,Calathus ruficollis,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
104,4,transect,29-May-19,13,invertebrate,Calathus ruficollis,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
106,6,transect,31-May-19,15,vertebrate,Calypte anna,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
112,5,transect,04-Jun-19,19,vertebrate,Chondestes grammacus,open,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,3,2019
113,5,transect,04-Jun-19,19,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
114,5,transect,04-Jun-19,19,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
115,5,transect,23-May-19,7,vertebrate,Chondestes grammacus,shrub,5,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
116,5,transect,25-May-19,9,vertebrate,Chondestes grammacus,shrub,4,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
117,5,transect,31-May-19,15,vertebrate,Chondestes grammacus,open,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,3,2019
126,6,transect,23-May-19,7,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
127,6,transect,25-May-19,9,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
134,7,transect,07-Jun-19,22,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
135,7,transect,12-Jun-19,27,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
136,7,transect,25-May-19,9,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
145,1,transect,31-May-19,15,vertebrate,Chondestes grammacus,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
151,3,transect,21-May-19,5,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
152,3,transect,25-May-19,9,vertebrate,Chondestes grammacus,shrub,4,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
153,3,transect,31-May-19,15,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
156,4,transect,21-May-19,5,vertebrate,Chondestes grammacus,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
157,4,transect,29-May-19,13,vertebrate,Chondestes grammacus,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
158,4,transect,31-May-19,15,vertebrate,Chondestes grammacus,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
159,5,transect,25-May-19,9,vertebrate,Chondestes grammacus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
160,7,transect,04-Jun-19,19,vertebrate,Corvus corax,open,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,1.333333333,2019
163,2,transect,25-May-19,9,vertebrate,Crotalus oreganus,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
167,5,transect,28-May-19,12,invertebrate,Dicolonus simplex,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
170,6,transect,28-May-19,12,invertebrate,Dicolonus simplex,open,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,1.333333333,2019
171,6,transect,28-May-19,12,invertebrate,Dicolonus simplex,shrub,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
177,1,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
182,2,transect,25-May-19,9,invertebrate,Dicolonus simplex,shrub,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
183,2,transect,29-May-19,13,invertebrate,Dicolonus simplex,open,1,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,2,2019
184,2,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,2,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
187,3,transect,29-May-19,13,invertebrate,Dicolonus simplex,shrub,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
378,5,transect,31-May-19,15,vertebrate,Geococcyx californianus,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
379,4,transect,11-Jun-19,26,vertebrate,Pituophis catenifer,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
380,4,transect,25-May-19,9,vertebrate,Pituophis catenifer,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
382,4,transect,06-Jun-19,21,invertebrate,Hippodamia convergens,open,1,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
389,5,transect,04-Jun-19,19,invertebrate,Icaricia acmon,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
390,5,transect,23-May-19,7,invertebrate,Icaricia acmon,open,5,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,3,2019
391,5,transect,23-May-19,7,invertebrate,Icaricia acmon,shrub,17,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
392,5,transect,25-May-19,9,invertebrate,Icaricia acmon,shrub,22,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
393,5,transect,28-May-19,12,invertebrate,Icaricia acmon,shrub,16,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
394,5,transect,31-May-19,15,invertebrate,Icaricia acmon,shrub,1,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,10,2019
402,6,transect,04-Jun-19,19,invertebrate,Icaricia acmon,shrub,2,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
403,6,transect,23-May-19,7,invertebrate,Icaricia acmon,open,1,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,1.333333333,2019
404,6,transect,23-May-19,7,invertebrate,Icaricia acmon,shrub,20,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
405,6,transect,25-May-19,9,invertebrate,Icaricia acmon,shrub,10,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
406,6,transect,28-May-19,12,invertebrate,Icaricia acmon,shrub,7,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
407,6,transect,31-May-19,15,invertebrate,Icaricia acmon,shrub,2,Carrizo site 3,medium,2,6,33.09722838,24.64743009,42.14060146,5.666666667,2019
414,7,transect,07-Jun-19,22,invertebrate,Icaricia acmon,shrub,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
415,7,transect,25-May-19,9,invertebrate,Icaricia acmon,open,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,1.333333333,2019
416,7,transect,25-May-19,9,invertebrate,Icaricia acmon,shrub,9,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
417,7,transect,28-May-19,12,invertebrate,Icaricia acmon,open,1,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,1.333333333,2019
418,7,transect,28-May-19,12,invertebrate,Icaricia acmon,shrub,5,Carrizo site 3,low,1,3,18.72499177,39.07493116,23.84134425,8.333333333,2019
422,8,transect,07-Jun-19,22,invertebrate,Icaricia acmon,open,1,Carrizo site 3,none,0,0,0,0,0,5.333333333,2019
423,8,transect,23-May-19,7,invertebrate,Icaricia acmon,open,3,Carrizo site 3,none,0,0,0,0,0,5.333333333,2019
424,8,transect,28-May-19,12,invertebrate,Icaricia acmon,open,5,Carrizo site 3,none,0,0,0,0,0,5.333333333,2019
427,1,transect,06-Jun-19,21,invertebrate,Icaricia acmon,shrub,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
428,1,transect,21-May-19,5,invertebrate,Icaricia acmon,open,1,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,2,2019
429,1,transect,29-May-19,13,invertebrate,Icaricia acmon,shrub,2,Carrizo site 4,high,3,12,66.70103858,30.4980331,84.92620141,6.666666667,2019
432,2,transect,21-May-19,5,invertebrate,Icaricia acmon,open,2,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,2,2019
433,2,transect,21-May-19,5,invertebrate,Icaricia acmon,shrub,4,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
434,2,transect,25-May-19,9,invertebrate,Icaricia acmon,shrub,8,Carrizo site 4,medium,2,6,50.02035969,57.34634048,63.68775107,7.333333333,2019
438,3,transect,04-Jun-19,19,invertebrate,Icaricia acmon,open,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
439,3,transect,25-May-19,9,invertebrate,Icaricia acmon,open,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
440,3,transect,25-May-19,9,invertebrate,Icaricia acmon,shrub,4,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,8,2019
441,3,transect,29-May-19,13,invertebrate,Icaricia acmon,open,1,Carrizo site 4,low,1,2,9.837975935,23.06555651,12.52607071,1.666666667,2019
443,4,transect,21-May-19,5,invertebrate,Icaricia acmon,open,4,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
444,4,transect,25-May-19,9,invertebrate,Icaricia acmon,open,3,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
445,4,transect,29-May-19,13,invertebrate,Icaricia acmon,open,2,Carrizo site 4,none,0,0,0,0,0,3.666666667,2019
446,5,transect,25-May-19,9,invertebrate,Icaricia acmon,open,2,Carrizo site 3,high,3,11,41.36448653,17.4253326,52.66677684,3,2019
