,region,site,site.density,shrub.count,phylum,microsite,captures,n,rate
1,CNM Carrizo,3,HD,11,invertebrate,shrub,112,5428,2.0634
1,CNM Carrizo,3,HD,11,vertebrate,shrub,86,5428,1.5844
2,CNM Carrizo,3,HD,11,invertebrate,open,12,5428,0.2211
2,CNM Carrizo,3,HD,11,vertebrate,open,2,5428,0.0368
3,CNM Carrizo,3,LD,3,invertebrate,open,17,31598,0.0538
3,CNM Carrizo,3,LD,3,vertebrate,open,244,31598,0.7722
4,CNM Carrizo,3,LD,3,invertebrate,shrub,46,31598,0.1456
4,CNM Carrizo,3,LD,3,vertebrate,shrub,26,31598,0.0823
5,CNM Carrizo,3,MD,6,invertebrate,open,12,2155,0.5568
5,CNM Carrizo,3,MD,6,vertebrate,open,66,2155,3.0626
6,CNM Carrizo,3,MD,6,invertebrate,shrub,92,2155,4.2691
6,CNM Carrizo,3,MD,6,vertebrate,shrub,120,2155,5.5684
7,CNM Carrizo,3,ND,0,invertebrate,open,0,5671,0
7,CNM Carrizo,3,ND,0,vertebrate,open,143,5671,2.5216
8,CNM Carrizo,3,ND,0,invertebrate,shrub,0,5671,0
8,CNM Carrizo,3,ND,0,vertebrate,shrub,0,5671,0
9,CNM Carrizo,4,HD,12,invertebrate,open,8,2118,0.3777
9,CNM Carrizo,4,HD,12,vertebrate,open,0,2118,0
10,CNM Carrizo,4,HD,12,invertebrate,shrub,51,2118,2.4079
10,CNM Carrizo,4,HD,12,vertebrate,shrub,215,2118,10.151
11,CNM Carrizo,4,LD,2,invertebrate,open,29,1726,1.6802
11,CNM Carrizo,4,LD,2,vertebrate,open,204,1726,11.8192
12,CNM Carrizo,4,LD,2,invertebrate,shrub,45,1726,2.6072
12,CNM Carrizo,4,LD,2,vertebrate,shrub,37,1726,8.7486
13,CNM Carrizo,4,MD,6,invertebrate,open,12,3335,0.3598
13,CNM Carrizo,4,MD,6,vertebrate,open,66,3335,1.979
14,CNM Carrizo,4,MD,6,invertebrate,shrub,92,3335,2.7586
14,CNM Carrizo,4,MD,6,vertebrate,shrub,120,3335,3.5982
15,CNM Carrizo,4,ND,0,invertebrate,open,72,3601,0.7498
15,CNM Carrizo,4,ND,0,vertebrate,open,130,3601,3.6101
16,CNM Carrizo,4,ND,0,invertebrate,shrub,0,3601,0
16,CNM Carrizo,4,ND,0,vertebrate,shrub,0,3601,0